sample_id	raw_file_name	plate	well	replicate_letter	ip_name	bait_name	replicate_group	keep
j13307	j13307.raw	81131	A03	A	j13307	GTF3C3	GTF3C3	Y
j13308	j13308.raw	81131	A04	A	j13308	SLC14A2	SLC14A2	Y
j13309	j13309.raw	81131	A05	A	j13309	ENPEP	ENPEP	Y
j13310	j13310.raw	81131	A06	A	j13310	IGHMBP2	IGHMBP2	Y
j13311	j13311.raw	81131	A07	A	j13311	LLGL2	LLGL2	Y
j13312	j13312.raw	81131	A09	A	j13312	PPP2R3A	PPP2R3A	Y
j13313	j13313.raw	81131	A10	A	j13313	CGN	CGN	Y
j13314	j13314.raw	81131	A11	A	j13314	CGNL1	CGNL1	Y
j13317	j13317.raw	81131	B02	A	j13317	COPG	COPG	Y
j13318	j13318.raw	81131	B03	A	j13318	OCRL	OCRL	Y
j13319	j13319.raw	81131	B04	A	j13319	PLEKHG5	PLEKHG5	Y
j13320	j13320.raw	81131	B05	A	j13320	MAGEE1	MAGEE1	Y
j13321	j13321.raw	81131	B06	A	j13321	KANK4	KANK4	Y
j13322	j13322.raw	81131	B07	A	j13322	TUBGCP5	TUBGCP5	Y
j13323	j13323.raw	81131	B08	A	j13323	LRIG1	LRIG1	Y
j13324	j13324.raw	81131	B09	A	j13324	MAML2	MAML2	Y
j13325	j13325.raw	81131	B10	A	j13325	CHL1	CHL1	Y
j13326	j13326.raw	81131	B11	A	j13326	MAPK8IP3	MAPK8IP3	Y
j13327	j13327.raw	81131	B12	A	j13327	YBEY	YBEY	Y
j13329	j13329.raw	81131	C03	A	j13329	EXOC1	EXOC1	Y
j13330	j13330.raw	81131	C04	A	j13330	LRRCC1	LRRCC1	Y
j13331	j13331.raw	81131	C05	A	j13331	SART3	SART3	Y
j13333	j13333.raw	81131	C07	A	j13333	TRHDE	TRHDE	Y
j13334	j13334.raw	81131	C09	A	j13334	THBS2	THBS2	Y
j13335	j13335.raw	81131	C12	A	j13335	AGRP	AGRP	Y
j13378	j13378.raw	81131	D01	A	j13378	GANAB	GANAB	Y
j13379	j13379.raw	81131	D03	A	j13379	ANO6	ANO6	Y
j13380	j13380.raw	81131	D04	A	j13380	ERAP1	ERAP1	Y
j13381	j13381.raw	81131	D05	A	j13381	SYCP1	SYCP1	Y
j13382	j13382.raw	81131	D06	A	j13382	SEMA6D	SEMA6D	Y
j13383	j13383.raw	81131	D07	A	j13383	KRBA1	KRBA1	Y
j13389	j13389.raw	81131	F01	A	j13389	TLR5	TLR5	Y
j13390	j13390.raw	81131	F02	A	j13390	CHSY3	CHSY3	Y
j13391	j13391.raw	81131	F04	A	j13391	PCDHA9	PCDHA9	Y
j13392	j13392.raw	81131	F05	A	j13392	BMP1	BMP1	Y
j13393	j13393.raw	81131	F06	A	j13393	PHF20	PHF20	Y
j13394	j13394.raw	81131	F07	A	j13394	DCLRE1A	DCLRE1A	Y
j13395	j13395.raw	81131	F08	A	j13395	RANBP6	RANBP6	Y
j13396	j13396.raw	81131	F09	A	j13396	PTPN14	PTPN14	Y
j13397	j13397.raw	81131	F10	A	j13397	TECPR2	TECPR2	Y
j13398	j13398.raw	81131	F11	A	j13398	PTPRU	PTPRU	Y
j13399	j13399.raw	81131	F12	A	j13399	TRPC5	TRPC5	Y
j13407	j13407.raw	81131	G03	B	j13407	NSMAF	NSMAF	Y
j13408	j13408.raw	81131	G02	B	j13408	ECT2	ECT2	Y
j14220	j14220.raw	81002	D12	B	j14220	DEFB123	DEFB123	Y
j14222	j14222.raw	81002	D08	B	j14222	ST13	ST13	Y
j14224	j14224.raw	81002	D06	B	j14224	GNG10	GNG10	Y
j14225	j14225.raw	81002	D02	B	j14225	LST1	LST1	Y
j14229	j14229.raw	81002	C08	B	j14229	FAM165B	FAM165B	Y
j14232	j14232.raw	81002	C05	B	j14232	NDUFA1	NDUFA1	Y
j14246	j14246.raw	81002	F12	A	j14246	OAZ1	OAZ1	Y
j14252	j14252.raw	81002	G08	A	j14252	C5orf62	C5orf62	Y
j14260	j14260.raw	81002	H08	A	j14260	SBDSP1	SBDSP1	Y
j14262	j14262.raw	81002	H10	A	j14262	GNG5	GNG5	Y
j14268	j14268.raw	81002	E03	A	j14268	POLR2L	POLR2L	Y
j14269	j14269.raw	81002	E04	A	j14269	RPS28	RPS28	Y
j14272	j14272.raw	81002	E09	A	j14272	NBR2	NBR2	Y
j14277	j14277.raw	81002	B10	B	j14277	NOP10	NOP10	Y
j14280	j14280.raw	81002	B05	B	j14280	MRPL33	MRPL33	Y
j14281	j14281.raw	81002	B04	B	j14281	C5orf13	C5orf13	Y
